,MLS_num,count
0,72007367,12
1,72029311,10
2,72013464,10
3,72027618,10
4,72003490,10
5,72037839,10
6,71975383,10
7,71984402,10
8,71969980,10
9,72004364,10
10,72053876,10
11,72002473,10
12,72009962,10
13,72037265,10
14,72029838,10
15,71995316,10
16,72019016,10
17,72020266,10
18,71982563,10
19,72013818,10
20,72037346,10
21,71793749,10
22,71979845,10
23,72026535,10
24,72049261,10
25,71996065,10
26,71971663,10
27,72032021,10
28,72001176,10
29,71980268,10
30,72001631,10
31,72010634,10
32,71970518,10
33,72039888,10
34,72006974,10
35,72010006,10
36,72040227,10
37,72015434,10
38,72023115,10
39,72049453,10
40,72037233,10
41,72004247,10
42,71979690,10
43,72002968,10
44,72055786,10
45,72007742,10
46,72007625,10
47,72012487,10
48,71968549,10
49,72044823,10
50,72050285,10
51,71990896,10
52,71999073,10
53,72010965,9
54,71842438,9
55,71959307,9
56,71981145,9
57,71979857,9
58,72024097,9
59,72052652,9
60,72015439,9
61,72006126,9
62,72008386,9
63,72019967,9
64,72003542,9
65,72016049,9
66,71977805,9
67,72014426,9
68,72032861,9
69,72036654,9
70,72022340,9
71,71995780,9
72,72007750,9
73,72000547,9
74,71643821,9
75,72007041,9
76,72015682,9
77,72036777,9
78,72034071,9
79,72019480,9
80,72066258,9
81,71966800,9
82,72020648,9
83,72011050,9
84,72017711,9
85,72009686,9
86,72033766,9
87,72027527,9
88,72073977,9
89,72008686,9
90,72007193,9
91,71993794,9
92,71926078,9
93,72028769,9
94,72016012,9
95,72026831,9
96,71995292,9
97,72023238,9
98,71986235,9
99,72008817,9
100,72035315,9
101,71996884,9
102,71999726,9
103,72019844,9
104,72006845,9
105,71952576,9
106,71980157,9
107,71989087,9
108,72040898,9
109,72039105,9
110,71992145,9
111,72007390,9
112,72001396,9
113,72019989,9
114,71974552,9
115,72004840,9
116,71997345,9
117,72048290,9
118,72005676,9
119,72043613,9
120,71990092,9
121,72023609,9
122,71989883,9
123,72047597,9
124,72055834,9
125,72006661,9
126,72023652,9
127,72061490,9
128,72001851,9
129,71991772,9
130,72047646,9
131,72002370,9
132,72051825,9
133,71982109,9
134,72010050,9
135,71971976,9
136,71998726,9
137,72006801,9
138,71972937,9
139,71979126,9
140,72009665,9
141,72032601,9
142,72040118,9
143,71982080,9
144,71981786,9
145,72005423,9
146,72019743,9
147,72001684,9
148,72012367,9
149,72002854,9
150,72009754,9
151,72000008,8
152,72043404,8
153,71961989,8
154,72010473,8
155,72027236,8
156,72016056,8
157,72015120,8
158,72013675,8
159,72005965,8
160,72033288,8
161,72014041,8
162,71953951,8
163,72027279,8
164,72007988,8
165,72010490,8
166,72031602,8
167,72001927,8
168,72041118,8
169,71990919,8
170,72009709,8
171,71988647,8
172,72019928,8
173,71980530,8
174,71998281,8
175,72030792,8
176,71994955,8
177,71995602,8
178,72009746,8
179,71997094,8
180,71994834,8
181,72002986,8
182,71981079,8
183,72015983,8
184,72043882,8
185,72016241,8
186,72028833,8
187,72006384,8
188,72014807,8
189,71984152,8
190,71984104,8
191,72025065,8
192,72042953,8
193,72004695,8
194,72013495,8
195,72010542,8
196,72000628,8
197,72037310,8
198,71988611,8
199,72033729,8
200,72025733,8
201,71985900,8
202,71980583,8
203,72036074,8
204,71999281,8
205,71993072,8
206,72004014,8
207,72035272,8
208,72006193,8
209,72023072,8
210,72017687,8
211,72008515,8
212,72029358,8
213,72016326,8
214,71991604,8
215,71954417,8
216,71963130,8
217,72010364,8
218,72020896,8
219,71993346,8
220,71977543,8
221,71991285,8
222,72027038,8
223,72001541,8
224,72026643,8
225,72020068,8
226,72008759,8
227,71794426,8
228,71902812,8
229,72009129,8
230,72045351,8
231,72049062,8
232,72023560,8
233,71971545,8
234,72029300,8
235,71934658,8
236,72018552,8
237,72014193,8
238,72014625,8
239,72034083,8
240,72008754,8
241,72008460,8
242,71999119,8
243,72034035,8
244,72048796,8
245,72004986,8
246,72038070,8
247,72038790,8
248,72005512,8
249,71991307,8
250,72023060,8
251,71998078,8
252,72041315,8
253,72015742,8
254,71983914,8
255,72004994,8
256,71977981,8
257,71978041,8
258,71967171,8
259,72016175,8
260,72020110,8
261,72019207,8
262,72033094,8
263,71956835,8
264,72043452,8
265,72008436,8
266,72053072,8
267,71984884,8
268,71970209,8
269,72062696,8
270,72036310,8
271,71885381,8
272,72018486,8
273,71972477,8
274,71965627,8
275,72013758,8
276,72014696,8
277,72056760,8
278,71994917,8
279,72028298,8
280,72010128,8
281,71993085,8
282,71970716,8
283,71697063,8
284,72034729,8
285,71839198,8
286,72004963,8
287,72014170,8
288,71995227,8
289,71983283,8
290,72024265,8
291,72015988,8
292,72024346,8
293,72032459,8
294,72033862,8
295,71985768,8
296,72003986,8
297,72017927,8
298,72009926,8
299,71995443,8
300,71999770,8
301,71962686,8
302,72001558,8
303,72027352,8
304,72000498,8
305,71999739,8
306,72019931,8
307,72009013,8
308,72025101,8
309,72019624,8
310,72033905,8
311,72020799,8
312,72021944,8
313,72024601,8
314,72029655,8
315,71981299,8
316,71598036,8
317,72040588,8
318,72010482,8
319,72029886,8
320,72018683,8
321,71994604,8
322,71971422,8
323,71980941,8
324,72057404,8
325,71939777,8
326,72026409,8
327,71969747,8
328,72058762,8
329,72038614,8
330,71990222,8
331,72020021,8
332,71999311,8
333,72014815,8
334,72030771,8
335,71974516,8
336,72023413,8
337,71954284,8
338,72019976,8
339,72015337,8
340,72026116,8
341,71997828,8
342,72016623,8
343,72000369,8
344,71993454,8
345,72018855,8
346,72005556,8
347,72020297,8
348,72042291,8
349,71941614,8
350,72004050,8
351,71965485,8
352,71995415,8
353,72052036,8
354,72015750,8
355,72014505,8
356,72011496,8
357,72016217,8
358,71996297,8
359,71990772,8
360,72041903,8
361,72013247,8
362,71952108,8
363,72019215,8
364,72020533,8
365,72007434,8
366,72033159,8
367,72022148,8
368,72037887,8
369,71898435,8
370,72037060,8
371,72043146,8
372,72035779,8
373,71978541,8
