,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2719,,24 Crescent C095/Multi007,Derry,NH,3038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1875,,23 North End Blvd.,Salisbury,MA,1952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71606829,CTG,499000,,11/10/2013,,,1581,1580,17 Richards Avenue,North Attleboro,MA,2760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
4,71753764,SLD,637500,518500,10/07/2014,01/03/2017,,657,657,25 Maple Street,Milford,MA,1757,,5,2,1914,68,38200,Teresa O Brien,ERA Key Realty Services,(508) 528-7200,Schedule with ShowingTime or call 888-627-2775,"INCREDIBLE INCOME VALUE! This 2-Unit, 5 Bedroom Multi Family Home Not Only Has Great Potential as a Rental Property, but Also Features an Incredible Opportunity to EARN INCOME JUST BY OWNING with the Inclusion of a Lucrative Telecom Tower Located on the Property & A Contract Just Renewed for 25 YEARS OF INCOME! Agreement Also Features a 2% Per Year Escalation Clause to Start in 2017 Making This Property a SUPERB INVESTMENT! Ranch Unit Features All Hardwood Floors, Nice Layout with Kitchen and Full Basement. Two Story Unit Has 3 Rooms Downstairs and 2 Large Rooms Upstairs with Updated Bath. Sizable, Level Yard with Mature Bushes & Trees.",,,0,,,,,,,MF,Maple Street,25,25,http://media.mlspin.com/photo.aspx?mls=71753764
5,71761597,SLD,154900,150000,10/25/2014,1/13/2017,,684,666,315 Tremont St,Fall River,MA,2720,,6,2.5,2700,118,5253,Robert Blackburn,Carolyn A. Burton & Associates,(508) 678-8083,Call List Agent,Looking for a 2 family?  Check out this recently remodeled two family with large yard and off street parking.   Full walk-up to 3rd floor with possibility of another apartment or town-house style apartment.,,,2,,,,,,,MF,Tremont St,315,315,http://media.mlspin.com/photo.aspx?mls=71761597
6,71787759,ACT,190000,,1/27/2015,,,579,,3 Oak St,Uxbridge,MA,1569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
7,71807860,ACT,2000000,,3/27/2015,,,1085,,82-86 Prospect St,Somerville,MA,2143,,0,0,19800,88,9265,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
8,71810460,ACT,525000,,04/02/2015,,,1079,,400 Burts Pit Road,Northampton,MA,1062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
9,71834589,ACT,279900,,05/11/2015,,,1039,,76 Cushman Road,Leverett,MA,1054,,7,6,4400,238,87007,Shawn Bowman,Trademark Real Estate,(413) 665-2155,Call List Agent,"Unique Investment Opportunity for this Large Leverett Multi-Family Property.  (1) 2-Bedroom Unit, (4) 1-Bedroom Unit, and Several Smaller Studio Apartments on Lower Level.  Plenty of Parking and great Country Location.  Separate Utilities - updated Electric and new electric service.",,,0,,,Leverett Elem,Amherst,Amherst,,MF,Cushman Road,76,76,http://media.mlspin.com/photo.aspx?mls=71834589
10,71839371,SLD,299000,310000,5/18/2015,1/19/2017,,504,485,170 Austin Street,Worcester,MA,1609,,15,6,5409,108,7230,Benjamin Virga,"Bridgestone Properties, LLC",(617) 269-1206,Other (See Special Showing Instructions),"THIS 6 UNIT BUILDING IS WILL BE DELIVERED VACANT ON 11/1/16 TO THE NEW OWNER. CURRENTLY UNDER RENTED FOR $5,550 PER MONTH THE NEW ONWER WILL BE ABLE TO PAY A ROCK BOTTOM PRICE AND MAKE THIS HUGE 6 FAMILY THEIR OWN AND GET EVEN MORE INCOME WITH A BLANK CANVAS TO WORK FROM. TWO SET SHOWING TIMES EVERY WEEK, SEE FIRM REMARKS WITH NO EXCEPTIONS!!! THESE BEAUTY HAS THREE 3 BEDROOM UNITS AND THREE 2 BEDROOM UNITS WITH A TON OF PARKING AS WELL. THIS WILL BE AN AS IS SALE AT THIS PRICE, BUYERS ARE WELCOME TO DO INSPECTIONS FOR INFORMATIONAL PURPOSES ONLY. DO NOT MISS THIS OPPORTUNITY TO STEAL THIS ONE FOR LESS THEN 50K A UNIT!!!",,,0,,,,,,,MF,Austin Street,170,170,http://media.mlspin.com/photo.aspx?mls=71839371
