,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71475884,ACT,874900,,1/25/2013,,,2726,,24 Crescent C095/Multi007,Derry,NH,03038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
2,71475957,ACT,350000,,1/25/2013,,,1882,,23 North End Blvd.,Salisbury,MA,01952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
3,71606829,BOM,499000,,11/10/2013,,,1588,,17 Richards Avenue,North Attleboro,MA,02760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
4,71616700,SLD,164900,113500,12/16/2013,5/18/2016,,621,621,1341 Richardson Rd.,Ashby,MA,01431,,3,2,1920,72,83635,Claire Lavin,Charron Real Estate & Associates,(978) 386-5509,Call List Office,"Great opportunity for sweat equity. House needs work. Deck on first floor overlooks lovely back yard. Attached barn for plenty of storage. Detached garage/shed.  No closing until April 1, 2014.",,,0,,,,,,,MF,Richardson Rd.,1341,1341,http://media.mlspin.com/photo.aspx?mls=71616700
5,71769386,SLD,120000,125000,11/16/2014,5/9/2016,,550,393,126 Orient Street,Worcester,MA,01604,,3,2,1814,118,8000,Gina Elia,Emerson REALTORS®,(508) 832-5324,"Sign, Schedule with ShowingTime or call 888-627-2775","Cute and cozy two family in desirable neighborhood.  Breathtaking city views.  First floor owner unit completely remodeled and offers two bedrooms, formal dining room,   brick faced fireplace, family room and beautiful hardwood flooring throughout and laundry in unit.   Second floor has sliders to a balcony, skylights, cathedral ceilings and comes fully applianced.  This is a great home in a good neighborhood.    This is a great opportunity to live in the first floor and have a mortgage helper on the second floor. Short sale has been approved at list price.",,,0,,,,,,,MF,Orient Street,126,126,http://media.mlspin.com/photo.aspx?mls=71769386
6,71787759,ACT,190000,,1/27/2015,,,586,,3 Oak St,Uxbridge,MA,01569,,6,3,4404,98,11326,Jacquelyn M. Robinson,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investors, Builders, Flippers, Someone very handy that needs a large home or rental property and has vision. An opportunity like this doesn't come around very often.  Mansard roof   Hardwood floors on 1st floor. This is a CASH ONLY ""AS IS"" sale.  A short sale attorney has been retained. Bank must approve sale.  This home is in the historical district .  With some TLC this house could shine again.   Inspection would be for informational purposes only. This price has been approved by the bank.   Showings will be with proof of funds only sent to listing agent.",,,0,,,,,,,MF,Oak St,3,3,http://media.mlspin.com/photo.aspx?mls=71787759
7,71796998,SLD,139000,123500,3/3/2015,5/24/2016,,432,360,168 Main Street,Williamsburg,MA,01039,,6,2,2004,188,6969,Stephen Snow,Steve Snow Real Estate,(413) 896-6020,Call List Agent,"Haydenville,  well located to the south of Main Street, walk to golf course and ball field, tennis court out back.  On the bus route.  Large, 2004 square foot, single or two family.  NEWLY REFURBISHED!.  Three BR 1 Ba in each unit.  Clapboard siding.  Wood stove.  Comfortable living.  New roof.  boiler good.  $139,000  New Price!",,,0,,,Dunphy,Hampshire,Hampshire,,MF,Main Street,168,168,http://media.mlspin.com/photo.aspx?mls=71796998
8,71798526,SLD,134900,134900,3/7/2015,5/4/2016,,740,375,48-50 Maryland St,Springfield,MA,01108,,4,2,1710,51,5001,M & M Team,M B C REALTORS®,(413) 886-0010,"Appointment Required, Schedule with ShowingTime or call 888-627-2775","New price approved by the bank!! Updated duplex with replacement windows and vinyl siding. Both sides include updated kitchens. One of the sides includes updated kitchen with ceramic tiles, an open breakfast bar to LR and finished rec room in lower level.  Hardwood floor throughout,  fenced rear yard and two separate driveways.Call today for your appointment.",,,0,,,,,,,MF,Maryland St,4850,48-50,http://media.mlspin.com/photo.aspx?mls=71798526
9,71803474,SLD,229900,231400,3/18/2015,5/31/2016,,414,414,53-55 Fisher Street,North Attleboro,MA,02760,,5,2,1945,98,8480,Fred Frisbie,"CENTURY 21 Ed Pariseau, REALTORS®",(508) 695-2511,Call List Agent,2 Family completely done over including Electric and heating ( approx. 15 years ago ).  1st floor offering 2 bedrooms - redone 1 year ago. 2nd floor is Townhouse style with office and 3rd bedroom on 3rd floor -  Call today.,,,0,,,,,,,MF,Fisher Street,5355,53-55,http://media.mlspin.com/photo.aspx?mls=71803474
10,71804479,SLD,179000,160000,3/21/2015,5/11/2016,,101,101,78 Water Street,Milford,MA,01757,,4,2,2494,118,20037,Elba Rojas,"Boston Multi Services, LLC",(617) 942-2428,--,,,,0,,,,,,,MF,Water Street,78,78,http://media.mlspin.com/photo.aspx?mls=71804479
