,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
1,71346320,SLD,499000,485000,3/4/2012,3/5/2016,,1334,1318,41 Presidents Ave.,Quincy,MA,02169,,2,1.5,2262,93,9556,C. Robert Foy,Assurance Realty Corp.,(617) 947-9657,"Call List Office, Accompanied Showings","Outstanding investment potential. Residence on second floor, business on first. Easy on and off to rte 3, 128 and expressway. Close to Quincy center, schools and shopping.",,,0,,,Linclon Hancock,Sterling,Quincy H. S.,,MF,Presidents Ave.,41,41,http://media.mlspin.com/photo.aspx?mls=71346320
2,71475884,ACT,874900,,1/25/2013,,,2726,,24 Crescent C095/Multi007,Derry,NH,03038,,12,7,7422,138,18000,Stephen Trefethen,"Summerview Real Estate, LLC",(603) 432-5453,"Call List Office, Appointment Required","12,324 sq ft Gross area, High Quality Building Across the street from Pinkerton High School.7,422 sq. ft of living space, includes 6 garges , hardwood floors, and custom built-ins, Victorian Hall ways. Could be easily set up and sold as condos. Next to Newell Meadows and ALWAYS full!! Don't miss out! Newer roofs & paint. NOI 10%  $64,830.06 NET QUALITY PROPERTY. Owner / Broker interest.",,,6,,,,,Pinkerton Acad.,,MF,Crescent C095/Multi007,24,24,http://media.mlspin.com/photo.aspx?mls=71475884
3,71475957,ACT,350000,,1/25/2013,,,1882,,23 North End Blvd.,Salisbury,MA,01952,Salisbury Beach,4,2,1440,88,2570,Sally Laffely,Laffely Real Estate Associates,(978) 255-4788,"Call List Agent, Accompanied Showings, Appointment Required","Two unit building in the beach commercial zone and close to beach commercial center. Solid year round rental history but suitable to weekly rentals or commercial development (refer to the Town of Salisbury ""Table of Use Regulations"" for permitted uses).",,,0,,,Salisbury Elem,,Triton Regional,,MF,North End Blvd.,23,23,http://media.mlspin.com/photo.aspx?mls=71475957
4,71543428,SLD,99900,98000,6/17/2013,3/11/2016,,882,749,311 E Main St,East Brookfield,MA,01515,,4,2,2224,158,21780,Hall Team Realtors,Keller Williams Realty Greater Worcester,(508) 754-3020,Schedule with ShowingTime or call 888-627-2775,"NEW PRICE! DON'T LET DAYS ON MARKET DETER YOU FROM THIS INVESTMENT OPPORTUNITY. OWNER SAYS SELL! This property was rented right up until it went up for sale! A little TLC and elbow grease and then let the rent money flow! Your tenants will love the convenient Route 9 location, views of Lake Lashawy, in-unit laundry hook-ups and large yard with off-street parking. Many replaced windows. Vinyl siding. Some recent carpeting. Separate electric and heat. Unit 2 has stairs to finished third floor. Unit 2 has two bedrooms plus a third room with no closet. Bank previously approved short sale but buyers were unable to perform. Two family income property is a rare find in East Brookfield--owner never had trouble finding great tenants! The price is right; act now!",,,0,,,,,,,MF,E Main St,311,311,http://media.mlspin.com/photo.aspx?mls=71543428
5,71551344,SLD,275000,265000,7/6/2013,3/1/2016,,810,545,32 Cameron St,Everett,MA,02149,,3,2,1485,88,4853,Edna Chalmers,EA Realty Team,(978) 439-5566,--,This is a short sale and subject to third party approval. Located in North Everett in a nice neighborhood with other similar homes. This is a great chance for an investor looking to get into the real estate market or a buyer looking for an opportunity to buy a home and have someone share the mortgage. Home needs extensive repairs and upgrading but has lots of potential.,,,0,,,,,,,MF,Cameron St,32,32,http://media.mlspin.com/photo.aspx?mls=71551344
6,71576656,SLD,488987,485000,8/31/2013,3/17/2016,,872,872,270 Reservoir Ave,Revere,MA,02151,,6,2,3162,71,6022,Phil Consolo,Century 21 North Shore,(781) 286-8900,"Call List Agent, Accompanied Showings, Appointment Required, Sign","West Revere ALL BRICK HOME and naturally block is behind the brick. Great to save heat and a/c.  Modern 2 family 7 rooms 4 bedrooms with the main level. There is one of the bedroom and a 2nd kitchen in the basement. Central air in the 5 rooms 3 beds on first floor which is the main level with an  open floor plan, plenty of cabinet space, lots of natural wood work, hardwood floors throughout the house. Second floor has 4 good size rooms with 2 bedrooms also hardwood floors with Great city view from living room and bedroom. Plus one car garage under with a door to the basement and 2 car parking in the front of house. Then there's a long driveway on the right side of house leading to a contractors Block built garage and more parking you could fit 8 more cars between the long driveway and extra parking in the back. Also has good size yard.",,,2,,,,,,,MF,Reservoir Ave,270,270,http://media.mlspin.com/photo.aspx?mls=71576656
7,71606829,BOM,499000,,11/10/2013,,,1588,,17 Richards Avenue,North Attleboro,MA,02760,,6,1,2360,95,9972,Barbara A. Orlando,Orlando Real Estate,(774) 266-3332,"Call List Office, Call List Agent","EXCELLENT VALUE!!!  3 family plus a 3 bedroom single family home that has fabulous rental possibility..newer oak Eat-in kitchen w DW, pantry and mud room, dining room, and Large Living Room. 3 bedrooms plus office on 2nd Flr.   Full basement w W/D hook ups   Ample parking in the rear..these homes must be sold as a package with 13-17 Richards Ave.  Just off of Washington street near center!!    Great investment property at 499K  3 family features all spacious 2 bedroom units with separate utilities!       Contractors take note!!    Being sold as a package with 13 Richards Ave  PLEASE SEE 13 RICHARDS AVE 3 UNIT MLS #71606820  PRICE DROP!!!!  Also included in sale is building in need of rehab-possible 2 family/duplex!  plenty of parking!",,,0,,,,,,,MF,Richards Avenue,17,17,http://media.mlspin.com/photo.aspx?mls=71606829
8,71693939,SLD,199500,195000,6/5/2014,3/11/2016,,551,551,204 main Street,Northfield,MA,01360,,5,3,3346,118,41818,Pamela Veith,Pam Veith Real Estate,(413) 498-0207,"Call List Office, Call List Agent, Key in Office, Accompanied Showings, Appointment Required, Sign, Pets on Premises","Here's something you don't see often - especially in Northfield! Grand 3 family colonial home has been in the same family for many, many years.  Beautiful original features, spacious rooms filled with natural light, high ceilings and absolutely lovely woodwork! Nicely done kitchens have the space you need and the features you want: Good cupboards/cabinets PLUS wonderful pantry PLUS sweet enclosed porches facing south!  Bedrooms with more than adequate closet space, owners' unit has a great 3 season sunroom and there's also a detached 5 car garage!  Each tenant can have a garage space or rent them out separately for additional income.  All this is set on a beautiful corner lot with loads of room for gardening or just enjoying! As an investment property this one would get you long term tenants or as an owner-occupied you couldn't have a better location.  Town water & sewer, replacement windows throughout and just bursting with appeal from the street, through the yard and into each unit!",,,5,,,Nfld Elementary,PVRS,PVRS,,MF,main Street,204,204,http://media.mlspin.com/photo.aspx?mls=71693939
9,71711406,SLD,699000,665000,7/10/2014,3/15/2016,,589,504,57/55/53 Burrell St,Boston,MA,02119,,11,5,4035,118,5768,Denise Lane,"WEICHERT, REALTORS® - Briarwood Real Estate",(508) 230-8200,Schedule with ShowingTime or call 888-627-2775,"Everything you could possibly want in an investment property.  Perfect for investors AND owner occupants.  2 parcels to purchase as a package deal.  1 includes a 3 family home PLUS a single family home (that is currently being used as 2 rental units AND IS A LEGAL 2 FAMILY) PLUS a 7 car garage stall and a driveway for off street parking.  Units 1 & 3 have new gas furnaces in 2013.  Both homes are vinyl sided and have newer windows.  3 of the garage stalls are currently being rented for $100 each.  In the heart of the city and convenient to highways, shopping, entertainment, and just minutes to downtown.  Current rents are below market.  Live in the lap of luxury once you purchase this money making complex.  The seller will entertain offers between $699,000 and $730,000 Value Range Pricing.",,,7,,,,,,,MF,Burrell St,575553,57/55/53,http://media.mlspin.com/photo.aspx?mls=71711406
10,71723169,SLD,240000,230000,8/2/2014,3/14/2016,,360,302,1366-1368 Park St,Palmer,MA,01069,,6,3,3666,173,94525,Karen King Group,RE/MAX Prof Associates,(413) 596-8500,"Sign, Schedule with ShowingTime or call 888-627-2775",Zoned Commercial!!! Possibilities with the property are endless!  High Visibility -Route 20  with frontage/fields and also on East Palmer Park Drive for driveway to the 3 family.  Call today to find out about uses. This 3 family would be a perfect bed and breakfast or keep it as an investment property while you develop the front portion of the parcel.  One of a kind home/location.,,,0,,,,,,,MF,Park St,13661368,1366-1368,http://media.mlspin.com/photo.aspx?mls=71723169
11,71728413,SLD,299800,304000,8/13/2014,3/25/2016,,333,332,67 Pine Street,Easton,MA,02375,South Easton ,4,2,1647,108,27595,John Allaire,"Easton Real Estate, LLC",(508) 230-8600,Schedule with ShowingTime or call 888-627-2775,"Great opportunity to own this desirable two family home with a great back yard, large relaxing deck area and a pretty location along with an inviting wrap around farmer's porch. Two good sized units with one unit having six rooms and two bedrooms and then the other unit having four rooms and two bedrooms.  Both units have light, bright and open floors plans. Features include hardwood floors, recessed lights, shining bathrooms, spacious kitchens, stainless steel appliances, center island, efficient and cost effective natural gas heating, ceiling fans, lots of closets & storage, finished basement, natural gas hot water heaters.  Buyers to be responsible for any necessary septic repairs or replacement.",,,0,,,Moreau Hall,Easton Middle,Oliver Ames,,MF,Pine Street,67,67,http://media.mlspin.com/photo.aspx?mls=71728413
